Order ID,Customer Name,Sales,Quantity,Discount,Profit,Anomaly_IF,Anomaly_Score
CA-2016-152156,Claire Gute,261.96,2,0.0,41.9136,1,0.17425480629130224
CA-2016-152156,Claire Gute,731.94,3,0.0,219.582,1,0.0796775510413279
CA-2016-138688,Darrin Van Huff,14.62,2,0.0,6.8714,1,0.21901131575138028
US-2015-108966,Sean O'Donnell,957.5775,5,0.45,-383.031,-1,-0.042093177023508566
US-2015-108966,Sean O'Donnell,22.368,2,0.2,2.5164,1,0.2239725970923651
CA-2014-115812,Brosina Hoffman,48.86,7,0.0,14.1694,1,0.17098925532247716
CA-2014-115812,Brosina Hoffman,7.28,4,0.0,1.9656,1,0.19836227913971427
CA-2014-115812,Brosina Hoffman,907.152,6,0.2,90.7152,1,0.08740899031629257
CA-2014-115812,Brosina Hoffman,18.504,3,0.2,5.7825,1,0.22672385150130808
CA-2014-115812,Brosina Hoffman,114.9,5,0.0,34.47,1,0.184878839154752
CA-2014-115812,Brosina Hoffman,1706.184,9,0.2,85.3092,-1,-0.030890798623458227
CA-2014-115812,Brosina Hoffman,911.424,4,0.2,68.3568,1,0.10267550630785871
CA-2017-114412,Andrew Allen,15.552,3,0.2,5.4432,1,0.22669029262151502
CA-2016-161389,Irene Maddox,407.976,3,0.2,132.5922,1,0.12318894647688866
US-2015-118983,Harold Pawlan,68.81,5,0.8,-123.858,-1,-0.008235915774978841
US-2015-118983,Harold Pawlan,2.544,3,0.8,-3.816,1,0.08169760862431574
CA-2014-105893,Pete Kriz,665.88,6,0.0,13.3176,1,0.11648126600874553
CA-2014-167164,Alejandro Grove,55.5,2,0.0,9.99,1,0.2198936100934758
CA-2014-143336,Zuschuss Donatelli,8.56,2,0.0,2.4824,1,0.21492503362002036
CA-2014-143336,Zuschuss Donatelli,213.48,3,0.2,16.011,1,0.2050005447143579
CA-2014-143336,Zuschuss Donatelli,22.72,4,0.2,7.384,1,0.2184868442204107
CA-2016-137330,Ken Black,19.46,7,0.0,5.0596,1,0.1624105001049228
CA-2016-137330,Ken Black,60.34,7,0.0,15.6884,1,0.17034125606065276
US-2017-156909,Sandra Flanagan,71.372,2,0.3,-1.0196,1,0.17060970427085176
CA-2015-106320,Emily Burns,1044.63,3,0.0,240.2649,1,0.04698246844061116
CA-2016-121755,Eric Hoffmann,11.648,2,0.2,4.2224,1,0.22216893173947222
CA-2016-121755,Eric Hoffmann,90.57,3,0.0,11.7741,1,0.21341386584324912
US-2015-150630,Tracy Blumstein,3083.43,7,0.5,-1665.0522,-1,-0.14471499005344413
US-2015-150630,Tracy Blumstein,9.618,2,0.7,-7.0532,1,0.09946485486909667
US-2015-150630,Tracy Blumstein,124.2,3,0.2,15.525,1,0.21239033725362033
US-2015-150630,Tracy Blumstein,3.264,2,0.2,1.1016,1,0.21546209564608793
US-2015-150630,Tracy Blumstein,86.304,6,0.2,9.7092,1,0.19044678375900498
US-2015-150630,Tracy Blumstein,6.858,6,0.7,-5.715,1,0.0871587301569341
US-2015-150630,Tracy Blumstein,15.76,2,0.2,3.546,1,0.22406007578098575
CA-2017-107727,Matt Abelman,29.472,3,0.2,9.9468,1,0.22483885777433654
CA-2016-117590,Gene Hale,1097.544,7,0.2,123.4737,1,0.05421007117468024
CA-2016-117590,Gene Hale,190.92,5,0.6,-147.963,1,0.02138549482534513
CA-2015-117415,Steve Nguyen,113.328,9,0.2,35.415,1,0.10752654995139055
CA-2015-117415,Steve Nguyen,532.3992,3,0.32,-46.9764,1,0.10064095798943673
CA-2015-117415,Steve Nguyen,212.058,3,0.3,-15.147,1,0.1589619895413763
CA-2015-117415,Steve Nguyen,371.168,4,0.2,41.7564,1,0.17836134555622002
CA-2017-120999,Linda Cazamias,147.168,4,0.2,16.5564,1,0.20287247305308753
CA-2016-101343,Ruben Ausman,77.88,2,0.0,3.894,1,0.20831228328752238
CA-2017-139619,Erin Smith,95.616,2,0.2,9.5616,1,0.2122155517886451
CA-2016-118255,Odella Nelson,45.98,2,0.0,19.7714,1,0.21628532976067938
CA-2016-118255,Odella Nelson,17.46,2,0.0,8.2062,1,0.21998172700745738
CA-2014-146703,Patrick O'Donnell,211.96,4,0.0,8.4784,1,0.18295946131515273
CA-2016-169194,Lena Hernandez,45.0,3,0.0,4.95,1,0.21955397330453913
CA-2016-169194,Lena Hernandez,21.8,2,0.0,6.104,1,0.2237186376737883
CA-2015-115742,Darren Powers,38.22,6,0.0,17.9634,1,0.19060284992673737
CA-2015-115742,Darren Powers,75.18,6,0.0,35.3346,1,0.17316226627647074
CA-2015-115742,Darren Powers,6.16,2,0.0,2.9568,1,0.21323744047769733
CA-2015-115742,Darren Powers,89.99,1,0.0,17.0981,1,0.15301603330461228
CA-2016-105816,Janet Molinari,15.26,7,0.0,6.2566,1,0.1587679241981837
CA-2016-105816,Janet Molinari,1029.95,5,0.0,298.6855,1,0.040356337842208045
CA-2016-111682,Ted Butterfield,208.56,6,0.0,52.14,1,0.15401084525821435
CA-2016-111682,Ted Butterfield,32.4,5,0.0,15.552,1,0.20696617264603434
CA-2016-111682,Ted Butterfield,319.41,5,0.1,7.098,1,0.14374146250493697
CA-2016-111682,Ted Butterfield,14.56,2,0.0,6.9888,1,0.21901131575138028
CA-2016-111682,Ted Butterfield,30.0,2,0.0,3.3,1,0.2152850442047175
CA-2016-111682,Ted Butterfield,48.48,4,0.2,16.362,1,0.2135408840056331
CA-2016-111682,Ted Butterfield,1.68,1,0.0,0.84,1,0.15624559041110275
CA-2015-135545,Kunst Miller,13.98,2,0.0,6.1512,1,0.21984735713112524
CA-2015-135545,Kunst Miller,25.824,6,0.2,9.3612,1,0.19101717085540765
CA-2015-135545,Kunst Miller,146.73,3,0.0,68.9631,1,0.17019473765653764
CA-2015-135545,Kunst Miller,79.76,4,0.0,22.3328,1,0.2072480683554182
US-2015-164175,Paul Stevenson,213.115,5,0.3,-15.2225,1,0.15667874556915656
CA-2014-106376,Brendan Sweed,1113.024,8,0.2,111.3024,1,0.03402236387663682
CA-2014-106376,Brendan Sweed,167.968,4,0.2,62.988,1,0.1652780567548015
CA-2016-119823,Karen Daniels,75.88,2,0.0,35.6636,1,0.1944323229526349
CA-2016-106075,Henry MacAllister,4.616,1,0.2,1.731,1,0.17458360655149524
CA-2017-114440,Tracy Blumstein,19.05,3,0.0,8.763,1,0.22008794528371978
US-2015-134026,Joel Eaton,831.936,8,0.2,-114.3912,1,0.027598029404684032
US-2015-134026,Joel Eaton,97.04,2,0.2,1.213,1,0.21307070044898707
US-2015-134026,Joel Eaton,72.784,1,0.2,-18.196,1,0.15238692374600982
US-2017-118038,Ken Brennan,1.248,3,0.8,-1.9344,1,0.07880917051910918
US-2017-118038,Ken Brennan,9.708,3,0.6,-5.8248,1,0.11931003198239609
US-2017-118038,Ken Brennan,27.24,3,0.2,2.724,1,0.22799230966627182
US-2014-147606,Joel Eaton,19.3,5,0.6,-14.475,1,0.10562917100455749
CA-2016-127208,Stewart Carmichael,208.16,1,0.0,56.2032,1,0.10785701063450653
CA-2016-127208,Stewart Carmichael,16.74,3,0.0,8.0352,1,0.21702277006249904
CA-2014-139451,Duane Noonan,14.9,5,0.0,4.172,1,0.19854951232995632
CA-2014-139451,Duane Noonan,21.39,1,0.0,6.2031,1,0.1743379771890039
CA-2015-149734,Julie Creighton,200.984,7,0.2,62.8075,1,0.13434467409196688
US-2017-119662,Christopher Schild,230.376,3,0.2,-48.9549,1,0.1842992365324736
CA-2017-140088,Patrick O'Donnell,301.96,2,0.0,33.2156,1,0.164566845142546
CA-2017-155558,Paul Gonzalez,19.99,1,0.0,6.7966,1,0.17331985863158178
CA-2017-155558,Paul Gonzalez,6.16,2,0.0,2.9568,1,0.21323744047769733
CA-2016-159695,Gary Mitchum,158.368,7,0.2,13.8572,1,0.16372231911472057
CA-2016-109806,Jim Sink,20.1,3,0.0,6.633,1,0.22113415033507483
CA-2016-109806,Jim Sink,73.584,2,0.2,8.2782,1,0.21703976554097548
CA-2016-109806,Jim Sink,6.48,1,0.0,3.1104,1,0.17100057948868697
CA-2015-149587,Karl Braun,12.96,2,0.0,6.2208,1,0.220945433499265
CA-2015-149587,Karl Braun,53.34,3,0.0,16.5354,1,0.21985621340642914
CA-2015-149587,Karl Braun,32.96,2,0.0,16.1504,1,0.2139281823197554
US-2017-109484,Roger Barcio,5.682,1,0.7,-3.788,1,0.06445201891137375
CA-2017-161018,Parhena Norris,96.53,7,0.0,40.5426,1,0.14676223841433284
CA-2017-157833,Katherine Ducich,51.312,3,0.2,17.9592,1,0.220244852293226
CA-2016-149223,Elpida Rittenbach,77.88,6,0.0,22.5852,1,0.18670514717767517
CA-2016-158568,Rick Bensley,64.624,7,0.2,22.6184,1,0.17608569340420338
CA-2016-158568,Rick Bensley,95.976,3,0.2,-10.7973,1,0.21437569070929624
